"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 169638, f(x) = 67095.1, t(x) = 44791.1, Yintra = 44699.5, Yextra = 89490.6, Igx = 7.21781e15"
"x= 170602, f(x) = 67394.4, t(x) = 44852.6, Yintra = 44968.1, Yextra = 89820.7, Igx = 7.24757e15"
"x= 171566, f(x) = 67692.8, t(x) = 44913.4, Yintra = 45236.1, Yextra = 90149.5, Igx = 7.27708e15"
"x= 172530, f(x) = 67990.3, t(x) = 44973.5, Yintra = 45503.5, Yextra = 90477, Igx = 7.30633e15"
"x= 173493, f(x) = 68286.8, t(x) = 45032.9, Yintra = 45770.4, Yextra = 90803.3, Igx = 7.33533e15"
"x= 174457, f(x) = 68582.5, t(x) = 45091.7, Yintra = 46036.6, Yextra = 91128.3, Igx = 7.36407e15"
"x= 175421, f(x) = 68877.2, t(x) = 45149.7, Yintra = 46302.3, Yextra = 91452, Igx = 7.39256e15"
"x= 176385, f(x) = 69171, t(x) = 45207.1, Yintra = 46567.4, Yextra = 91774.5, Igx = 7.42079e15"
"x= 177349, f(x) = 69463.8, t(x) = 45263.9, Yintra = 46831.9, Yextra = 92095.8, Igx = 7.44876e15"
"x= 178313, f(x) = 69755.8, t(x) = 45319.9, Yintra = 47095.8, Yextra = 92415.7, Igx = 7.47648e15"
"x= 179276, f(x) = 70046.8, t(x) = 45375.4, Yintra = 47359.1, Yextra = 92734.4, Igx = 7.50393e15"
"x= 180240, f(x) = 70336.8, t(x) = 45430.1, Yintra = 47621.8, Yextra = 93051.9, Igx = 7.53114e15"
"x= 181204, f(x) = 70626, t(x) = 45484.2, Yintra = 47883.9, Yextra = 93368.1, Igx = 7.55808e15"
"x= 182168, f(x) = 70914.2, t(x) = 45537.7, Yintra = 48145.4, Yextra = 93683.1, Igx = 7.58477e15"
"x= 183132, f(x) = 71201.5, t(x) = 45590.5, Yintra = 48406.3, Yextra = 93996.8, Igx = 7.6112e15"
"x= 184096, f(x) = 71487.9, t(x) = 45642.7, Yintra = 48666.5, Yextra = 94309.3, Igx = 7.63737e15"
"x= 185060, f(x) = 71773.4, t(x) = 45694.3, Yintra = 48926.2, Yextra = 94620.5, Igx = 7.66328e15"
"x= 186023, f(x) = 72057.9, t(x) = 45745.2, Yintra = 49185.3, Yextra = 94930.5, Igx = 7.68894e15"
"x= 186987, f(x) = 72341.5, t(x) = 45795.5, Yintra = 49443.7, Yextra = 95239.3, Igx = 7.71434e15"
"x= 187951, f(x) = 72624.2, t(x) = 45845.2, Yintra = 49701.6, Yextra = 95546.8, Igx = 7.73948e15"
"x= 188915, f(x) = 72905.9, t(x) = 45894.3, Yintra = 49958.8, Yextra = 95853.1, Igx = 7.76436e15"
"x= 189879, f(x) = 73186.8, t(x) = 45942.8, Yintra = 50215.4, Yextra = 96158.1, Igx = 7.78898e15"
"x= 190843, f(x) = 73466.6, t(x) = 45990.6, Yintra = 50471.3, Yextra = 96462, Igx = 7.81334e15"
"x= 191807, f(x) = 73745.6, t(x) = 46037.9, Yintra = 50726.7, Yextra = 96764.6, Igx = 7.83745e15"
"x= 192770, f(x) = 74023.7, t(x) = 46084.5, Yintra = 50981.4, Yextra = 97065.9, Igx = 7.8613e15"
"x= 193734, f(x) = 74300.8, t(x) = 46130.6, Yintra = 51235.5, Yextra = 97366.1, Igx = 7.88489e15"
"x= 194698, f(x) = 74577, t(x) = 46176, Yintra = 51489, Yextra = 97665, Igx = 7.90822e15"
"x= 195662, f(x) = 74852.3, t(x) = 46220.9, Yintra = 51741.8, Yextra = 97962.7, Igx = 7.93129e15"
"x= 196626, f(x) = 75126.6, t(x) = 46265.2, Yintra = 51994.1, Yextra = 98259.2, Igx = 7.95411e15"
"x= 197590, f(x) = 75400.1, t(x) = 46308.9, Yintra = 52245.6, Yextra = 98554.5, Igx = 7.97666e15"
"x= 198554, f(x) = 75672.6, t(x) = 46352, Yintra = 52496.6, Yextra = 98848.5, Igx = 7.99896e15"
"x= 199517, f(x) = 75944.1, t(x) = 46394.5, Yintra = 52746.9, Yextra = 99141.4, Igx = 8.02101e15"
"x= 200481, f(x) = 76214.8, t(x) = 46436.5, Yintra = 52996.5, Yextra = 99433, Igx = 8.04279e15"
"x= 201445, f(x) = 76484.5, t(x) = 46477.9, Yintra = 53245.6, Yextra = 99723.4, Igx = 8.06432e15"
"x= 202409, f(x) = 76753.3, t(x) = 46518.7, Yintra = 53494, Yextra = 100013, Igx = 8.08558e15"
"x= 203373, f(x) = 77021.2, t(x) = 46558.9, Yintra = 53741.7, Yextra = 100301, Igx = 8.1066e15"
"x= 204337, f(x) = 77288.1, t(x) = 46598.6, Yintra = 53988.8, Yextra = 100587, Igx = 8.12735e15"
"x= 205300, f(x) = 77554.1, t(x) = 46637.8, Yintra = 54235.2, Yextra = 100873, Igx = 8.14785e15"
"x= 206264, f(x) = 77819.2, t(x) = 46676.4, Yintra = 54481.1, Yextra = 101157, Igx = 8.16809e15"
